brand,total,severe,serious,industry,first_year,last_year,severe_rate,peak_year,peak_count,peak_ratio,onset_year,onset_ratio,is_spike,watch_score
COQ10,124,60,109,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,48.4,2015,30,3.3,,0.0,False,56.2
FISH OIL,622,221,559,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,35.5,2016,150,4.8,,0.0,True,56.1
WEN FIG CLEANSING CONDITIONER,21,2,7,Cosmetics,2016,2017,9.5,2016,20,20.0,,0.0,True,56.1
GLUCOSAMINE,88,32,80,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,36.4,2016,21,4.7,,0.0,True,56.0
COD LIVER OIL,33,13,30,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,39.4,2015,8,4.0,,0.0,False,56.0
QUORN NUGGETS,52,2,3,Vegetables/Vegetable Products,2017,2017,3.8,2017,52,52.0,,0.0,True,55.9
LUTEIN,44,21,40,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2016,47.7,2013,10,3.3,,0.0,False,55.8
CALCIUM CARBONATE,28,11,28,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2016,39.3,2012,6,4.0,,0.0,False,55.7
NIACIN,67,33,61,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,49.3,2016,13,3.2,,0.0,False,55.6
SABRA CLASSIC HUMMUS,52,4,7,Mult Food Dinner/Grav/Sauce/Special,2012,2017,7.7,2015,45,22.5,,0.0,True,55.3
HERBALIFE THERMO-BOND,25,22,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2007,2014,88.0,2011,7,2.3,,0.0,False,55.3
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",27,2,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2015,7.4,2013,23,23.0,,0.0,True,55.3
CANTALOUPE,51,2,38,Fruit/Fruit Prod,2004,2016,3.9,2015,35,35.0,,0.0,True,55.0
IC-5,24,20,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2016,83.3,2016,13,2.4,,0.0,False,55.0
HERBALIFE FORMULA 1,27,24,26,Dietary Conv Food/Meal Replacements,2009,2014,88.9,2011,9,2.2,,0.0,False,54.5
WEN LAVENDER CLEANSING CONDITIONER,28,3,16,Cosmetics,2016,2017,10.7,2016,26,13.0,,0.0,True,54.4
CALCIUM,592,173,526,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,29.2,2016,141,5.2,,0.0,True,54.4
HERBALIFE HERBAL ALOE CONCENTRATE,35,26,34,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2015,74.3,2009,12,2.4,,0.0,False,54.3
HYDROXYCUT HARDCORE CAPSULES,132,49,132,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2013,37.1,2011,68,4.2,,0.0,True,54.1
FOLIC ACID,158,58,139,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,36.7,2016,34,4.2,,0.0,True,53.7
ISAFLUSH ARIZONA NUTRITIONAL SUPPLEMENTS,20,18,19,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,90.0,2014,7,2.0,,0.0,False,53.6
VITAMIN C (ASCORBIC ACID),79,12,79,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2016,15.2,2013,17,8.5,,0.0,True,53.6
VITAMIN B COMPLEX,60,19,56,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,31.7,2013,12,4.8,,0.0,True,53.5
QUORN CHICKEN PATTY,52,1,2,Vegetables/Vegetable Products,2013,2017,1.9,2017,50,50.0,,0.0,True,53.3
PRENATAL VITAMINS,28,7,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,25.0,2016,11,5.5,,0.0,True,53.2
HERBALIFE TOTAL CONTROL,51,43,48,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2015,84.3,2009,11,2.2,,0.0,False,53.1
VITAMIN,21,10,16,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2016,47.6,2013,6,3.0,,0.0,False,53.0
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",53,8,53,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2016,15.1,2011,27,7.7,,0.0,True,53.0
DAILY VITAMIN,25,6,16,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,24.0,2016,14,5.6,,0.0,True,52.9
MULTI VITAMINS,23,7,17,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,30.4,2016,12,4.8,,0.0,True,52.8
WEN HAIR CARE,25,2,19,Cosmetics,2015,2017,8.0,2016,22,14.7,,0.0,True,52.6
ECHINACEA,23,13,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2016,56.5,2015,5,2.5,,0.0,False,52.5
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,32,1,32,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2014,3.1,2014,32,32.0,,0.0,True,52.5
